# CAS_ESM2_0 ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.88,1.93,1.83,1.87,1.72,1.98,1.76,2.21,2.25,2.19,2.01,2.15,1.91,1.80,2.44,1.92,2.33,2.44,2.15,1.80,2.03,1.78,1.80,1.76
Daily maximum near surface air temperature,tasmax,∆°C,1.86,1.96,1.88,1.91,1.78,2.11,1.79,2.37,2.27,2.24,2.05,2.15,1.94,1.81,2.38,1.82,2.31,2.51,2.18,1.95,2.00,1.87,1.79,1.77
Daily minimum near surface air temperature,tasmin,∆°C,1.92,1.94,1.82,1.88,1.66,1.91,1.73,2.03,2.21,2.12,1.97,2.17,1.93,1.86,2.51,2.06,2.35,2.30,2.11,1.69,2.09,1.74,1.82,1.82
Precipitation,pr,fraction,1.23,1.24,0.82,0.82,0.84,0.82,0.97,0.90,0.69,0.72,0.66,0.99,1.88,3.77,0.73,1.06,0.73,0.86,0.89,0.86,0.87,0.78,0.93,0.98
Surface downwelling shortwave radiation,rsds,∆W/m²,0.68,27.58,8.07,37.13,9.24,44.00,4.69,44.56,7.07,29.35,3.25,24.16,2.89,21.20,-4.03,20.41,2.73,29.09,3.05,28.68,2.64,24.54,2.67,24.54
Total cloud cover percentage,clt,∆%,0.40,22.84,-5.14,24.98,-3.60,22.15,-1.67,22.11,-2.75,15.27,-3.15,13.12,-2.80,8.16,0.78,13.29,-3.30,15.89,-0.05,19.71,-3.00,17.76,-1.97,19.09
Snow depth,snd,fraction,1.00,1.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000959,0.001437,0.000811,0.001478,0.000901,0.001361,0.000900,0.001429,0.001365,0.001535,0.001446,0.001895,0.001829,0.001992,0.002638,0.002564,0.001952,0.002165,0.001428,0.001471,0.001210,0.001312,0.000844,0.001282
Air pressure at mean sea level,psl,∆hPa,-0.63,8.20,0.44,8.60,0.56,4.64,-0.00,3.74,-0.26,1.81,-0.36,1.69,-0.42,1.54,-0.63,1.46,-0.56,2.02,0.18,3.54,0.19,5.61,0.06,8.39
Near surface wind speed,sfcWind,fraction,1.0459,0.4631,0.9525,0.4537,0.9266,0.3975,0.9851,0.4339,0.9711,0.3838,0.9901,0.3846,0.9763,0.4022,1.0230,0.4439,1.0092,0.4634,0.9778,0.4436,0.9615,0.4289,1.0011,0.4965
