# Ensemble ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.63,0.36,1.73,0.49,1.72,0.45,2.16,0.65,2.73,0.54,3.15,0.74,2.94,0.69,2.97,0.68,3.12,0.57,2.75,0.66,2.09,0.54,1.78,0.45
Daily maximum near surface air temperature,tasmax,∆°C,1.77,0.34,1.86,0.55,1.88,0.57,2.49,0.83,3.03,0.71,3.38,0.88,3.05,0.73,3.05,0.64,3.27,0.70,2.97,0.77,2.26,0.62,1.94,0.45
Daily minimum near surface air temperature,tasmin,∆°C,1.55,0.46,1.63,0.59,1.58,0.47,1.85,0.57,2.43,0.51,2.94,0.66,2.84,0.69,2.87,0.70,2.98,0.55,2.56,0.65,1.98,0.58,1.68,0.53
Precipitation,pr,fraction,1.00,0.33,0.97,0.27,0.97,0.34,0.79,0.15,0.79,0.19,0.71,0.20,0.76,0.31,0.80,0.39,0.75,0.25,0.73,0.15,0.85,0.19,0.90,0.15
Surface downwelling shortwave radiation,rsds,∆W/m²,2.35,4.81,2.97,5.69,4.95,5.75,11.27,6.08,9.49,6.08,7.22,4.28,3.09,4.69,2.34,3.45,3.96,4.48,4.75,4.18,3.89,3.36,2.98,3.36
Total cloud cover percentage,clt,∆%,-1.58,4.09,-1.21,4.79,-2.22,4.04,-5.70,2.84,-5.27,2.44,-4.53,2.22,-3.07,1.77,-3.25,2.30,-3.80,3.65,-4.62,3.55,-3.83,3.50,-2.81,3.21
Snow depth,snd,fraction,1.14,1.78,1.76,2.60,0.76,0.34,0.87,0.33,1.02,0.11,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.07,1.26,1.80,0.64,0.48
Near surface specific humidity,huss,∆kg/kg,0.000603,0.000283,0.000569,0.000331,0.000467,0.000300,0.000381,0.000324,0.000542,0.000409,0.000676,0.000475,0.000961,0.000563,0.001124,0.000582,0.001154,0.000635,0.000981,0.000540,0.000801,0.000356,0.000642,0.000294
Air pressure at mean sea level,psl,∆hPa,0.10,1.74,-0.14,1.47,0.07,1.33,0.25,0.77,-0.33,0.49,-0.67,0.42,-0.89,0.43,-1.18,0.67,-0.57,0.59,0.30,0.76,0.22,0.77,0.31,0.99
Near surface wind speed,sfcWind,fraction,0.9831,0.0433,0.9816,0.0474,0.9884,0.0305,0.9830,0.0347,0.9950,0.0292,1.0129,0.0482,1.0144,0.0362,1.0098,0.0285,0.9823,0.0304,0.9547,0.0399,0.9545,0.0471,0.9751,0.0388
