# CNRM_CM6_1_HR ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.31,2.51,1.88,2.67,1.95,2.65,2.01,3.25,2.26,4.27,3.20,4.14,2.68,3.17,2.25,2.27,2.39,3.11,2.47,2.75,1.99,2.16,1.40,2.18
Daily maximum near surface air temperature,tasmax,∆°C,1.02,2.82,1.95,2.82,2.59,3.43,2.37,4.63,2.56,5.52,3.73,5.20,2.91,3.86,2.49,2.79,2.53,4.20,2.79,3.77,1.83,2.78,1.26,2.33
Daily minimum near surface air temperature,tasmin,∆°C,1.45,2.79,1.81,3.16,1.37,2.72,1.71,2.42,2.00,3.21,2.74,3.17,2.57,2.57,2.09,2.04,2.32,2.37,2.14,2.34,2.08,2.41,1.50,2.65
Precipitation,pr,fraction,1.24,1.25,0.90,0.84,0.65,0.63,1.06,1.02,0.74,0.79,0.35,0.41,0.62,0.86,0.73,1.01,0.89,1.00,0.68,0.70,1.21,1.10,1.14,1.18
Surface downwelling shortwave radiation,rsds,∆W/m²,-2.52,24.66,1.21,34.82,15.36,39.28,8.35,47.73,11.01,41.73,14.74,35.87,3.48,25.71,7.30,25.30,5.83,29.88,9.57,30.64,-1.69,24.34,-0.27,24.34
Total cloud cover percentage,clt,∆%,4.28,23.02,4.76,29.04,-3.62,24.62,-2.11,21.40,-3.81,15.93,-5.04,13.69,-2.24,15.76,-2.59,18.65,-1.51,18.76,-7.74,24.13,2.59,20.37,1.48,22.73
Snow depth,snd,fraction,7.51,20.68,0.50,0.70,1.17,2.25,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.25,9.01
Near surface specific humidity,huss,∆kg/kg,0.000670,0.001274,0.000824,0.001476,0.000158,0.001464,0.000176,0.001266,0.000314,0.001651,-0.000103,0.001899,0.000726,0.001628,0.000470,0.001809,0.000957,0.002011,0.000395,0.001886,0.000862,0.001401,0.000625,0.001301
Air pressure at mean sea level,psl,∆hPa,-0.34,9.39,1.26,8.33,1.75,6.64,-0.66,5.77,0.01,3.32,0.02,2.30,-0.54,1.76,-0.99,1.77,0.08,2.51,0.14,5.04,-0.39,7.10,-0.05,7.67
Near surface wind speed,sfcWind,fraction,1.0311,0.5247,0.9862,0.4848,0.9372,0.4365,1.0110,0.4296,1.0181,0.3641,1.0409,0.3718,1.0047,0.3291,1.0264,0.3639,0.9634,0.3815,0.9290,0.4121,1.0333,0.4271,1.0109,0.5590
