# EC_Earth3_Veg ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,3.84,2.62,3.39,2.48,3.10,2.80,4.95,4.23,6.26,4.47,6.09,4.87,4.37,3.27,5.05,2.53,4.92,3.66,6.06,3.59,4.59,2.91,3.53,2.75
Daily maximum near surface air temperature,tasmax,∆°C,3.81,2.76,3.52,3.40,3.34,3.92,5.53,5.48,6.79,5.47,6.28,5.60,4.28,3.69,5.02,2.84,4.64,4.36,6.15,4.23,4.28,3.67,3.33,3.01
Daily minimum near surface air temperature,tasmin,∆°C,3.99,3.00,3.39,2.77,2.84,2.19,4.31,3.07,5.58,3.39,5.88,4.18,4.68,2.99,5.27,2.26,5.44,3.01,5.88,3.01,4.79,2.69,3.57,3.25
Precipitation,pr,fraction,1.17,1.39,1.44,1.80,0.82,0.90,0.57,0.63,0.41,0.50,0.38,0.66,0.25,0.41,0.43,0.88,0.68,0.97,0.53,0.60,0.98,1.09,1.16,1.34
Surface downwelling shortwave radiation,rsds,∆W/m²,1.80,20.76,4.16,35.82,13.92,38.09,25.19,39.74,29.46,38.23,17.25,26.25,3.59,15.88,1.66,10.74,-0.78,20.42,10.18,22.96,1.14,18.96,2.90,18.96
Total cloud cover percentage,clt,∆%,2.30,25.35,-0.94,33.48,-9.14,27.73,-13.15,24.84,-16.39,17.33,-10.55,17.18,-5.95,16.35,-7.28,12.71,-6.33,20.41,-11.10,20.37,-3.50,25.17,-4.32,26.26
Snow depth,snd,fraction,0.00,1.00,0.10,1.00,0.34,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.46
Near surface specific humidity,huss,∆kg/kg,0.001568,0.001387,0.001279,0.001550,0.000873,0.001685,0.000796,0.001849,0.000728,0.002202,0.000610,0.002576,0.002043,0.002187,0.002139,0.001571,0.002786,0.001985,0.002209,0.002060,0.001787,0.001778,0.001371,0.001578
Air pressure at mean sea level,psl,∆hPa,-0.27,7.43,0.57,10.19,1.47,6.92,1.83,4.92,-0.58,2.54,-0.27,2.07,-1.69,1.75,-1.97,1.58,-1.04,1.80,1.12,3.53,-0.68,5.44,-0.08,7.35
Near surface wind speed,sfcWind,fraction,0.9730,0.4568,1.0294,0.5109,0.9652,0.3805,0.9293,0.3688,0.9564,0.4005,1.0378,0.3994,1.0518,0.2923,0.9786,0.2660,0.9540,0.3208,0.8687,0.3275,0.9397,0.3702,0.9862,0.4448
