# GISS_E2_1_G ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.06,2.33,1.85,2.46,1.46,2.75,2.16,2.68,4.55,3.60,4.35,3.13,5.00,2.43,4.59,3.09,4.52,2.87,4.54,3.63,2.77,3.01,2.22,2.21
Daily maximum near surface air temperature,tasmax,∆°C,2.39,2.56,1.70,2.93,1.54,3.31,2.26,3.06,4.54,3.91,4.29,3.40,5.01,2.52,4.48,3.34,4.36,3.02,4.55,3.81,2.86,3.43,2.21,2.50
Daily minimum near surface air temperature,tasmin,∆°C,1.91,2.61,1.95,2.90,1.33,2.70,2.00,2.67,4.52,3.48,4.41,3.00,5.08,2.59,4.63,3.02,4.60,3.01,4.44,3.70,2.73,3.05,2.25,2.42
Precipitation,pr,fraction,0.87,0.89,1.21,1.31,0.85,0.87,0.65,0.68,0.48,0.56,0.56,0.65,0.26,0.31,0.34,0.37,0.52,0.53,0.57,0.56,0.87,0.88,0.73,0.71
Surface downwelling shortwave radiation,rsds,∆W/m²,4.93,23.65,-2.52,35.50,2.16,36.63,10.28,40.93,4.99,34.60,4.78,34.54,4.03,21.01,8.79,23.78,5.21,31.29,3.11,27.06,1.89,23.01,-0.91,23.01
Total cloud cover percentage,clt,∆%,-4.86,20.73,0.17,25.11,-3.54,21.61,-8.84,20.68,-8.53,17.09,-4.16,17.01,-5.74,12.00,-9.28,15.03,-9.23,20.36,-5.14,20.22,-3.93,17.65,-2.88,20.01
Snow depth,snd,fraction,0.97,1.02,0.92,0.93,0.91,0.92,0.91,1.00,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,1.00,0.91,1.00,0.91,0.92
Near surface specific humidity,huss,∆kg/kg,0.000743,0.001349,0.000717,0.001382,0.000453,0.001292,0.000512,0.001310,0.001241,0.001429,0.001428,0.001967,0.001582,0.001684,0.001608,0.001718,0.002158,0.002018,0.002319,0.002185,0.001438,0.001455,0.000981,0.001214
Air pressure at mean sea level,psl,∆hPa,0.70,8.38,-1.40,7.62,-0.03,6.36,-0.55,4.37,-0.90,2.30,-1.27,2.13,-1.15,1.75,-1.26,1.41,-0.83,2.02,-1.41,2.77,-0.95,5.85,0.41,6.88
Near surface wind speed,sfcWind,fraction,0.9927,0.4136,1.0248,0.4477,0.9721,0.3337,1.0147,0.3683,1.0341,0.3431,1.0055,0.3609,0.9961,0.3303,1.0101,0.3539,0.9902,0.3764,0.9453,0.3800,0.9434,0.3500,0.9724,0.3964
